เลขที่ T/O,เลขที่ TR,หมายเลขอ้างอิง,PO Number,รหัสสินค้า,สินค้า,จำนวน,Sale Unit,จำนวน,Base Unit,คงเหลือ (Sale Unit),คงเหลือ (Base Unit),วันที่ต้องการให้ขน,เวลาต้องการให้ขน,วันที่ Completed,เวลา Completed,ความสำคัญ,Location Delivery Type,รหัสลูกค้า,ชื่อลูกค้า,รหัสสถานที่ขนต้นทางจริง,สถานที่ขนต้นทางจริง,รหัสสถานที่รับปลายทางจริง,สถานที่รับปลายทางจริง,TiHi,Pallet,Portion Pallet,สถานะ,เหตุผลที่ Rejected,สร้างโดย,วันที่สร้างเอกสาร,เวลาสร้างเอกสาร,Channel,Product List,วันที่ลูกค้าต้องการ,เวลาลูกค้าต้องการ,วันที่ Sale ยืนยัน,เวลา Sale ยืนยัน,หมายเหตุ Plan,ประเภทรถ,Batch,ทะเบียนรถ,พนักงานขับรถ,Engineering Change,PO_Type
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS719402,น้ำคริสตัล 350 ซีซี.,50,ลัง,0,ขวด,50,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,17,35,5,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS770108,เอส ครีมโซดา 359 ซีซี Pack12x1,20,ลัง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,13,18,6,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS726118,เอส เพลย์ กามิกาเซ่ 360 ซีซี Pack12*1,15,ลัง,0,ขวด,15,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,10,18,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706118,เอส เพลย์ กามิกาเซ่ 1 ลิตร,1,ลัง,0,ขวด,1,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,2,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS726107,เอส ส้ม 360 ซีซี Pack12*1,20,ลัง,0,ขวด,20,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,10,24,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS770106,เอส โคล่า 359 cc Pack12x1,30,ลัง,0,ขวด,30,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,150,2,60,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS709402,น้ำดื่มคริสตัล 1.5Ltr 6NR,50,ลัง,0,ขวด,50,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,17,17,11,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706113,เอส Play เกรปเบอร์รี 1 ลิตร,1,ลัง,0,ขวด,1,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,2,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS706108,เอส ครีมโซดา 1Ltr 12NR,1,ลัง,0,ขวด,1,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,6,2,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
TO2505030119,OS-OMSAP-2505030587,CV08-TG6805-0243,,ZS725402,น้ำดื่มคริสตัล 600cc 12NR,200,ลัง,0,ขวด,200,0,,,,,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,90811,คลังภูเก็ต,4608G013,CV เมืองพังงา-G,10,240,0,OPEN,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,12:00,03/05/2025,11:48:13,,,,,,,
